dataset,run_id,seed,runtime,acc_rate,grad_calls,d,n_samples,burn_in,epsilon,L
pima,0,42,9.319,0.6926,132000,9,10000,2000,0.1,10
pima,1,142,8.152,0.6838,132000,9,10000,2000,0.1,10
pima,2,242,8.055,0.6846,132000,9,10000,2000,0.1,10
pima,3,342,8.156,0.6948,132000,9,10000,2000,0.1,10
pima,4,442,8.112,0.6871,132000,9,10000,2000,0.1,10
pima,5,542,7.978,0.6851,132000,9,10000,2000,0.1,10
pima,6,642,8.005,0.6926,132000,9,10000,2000,0.1,10
pima,7,742,8.236,0.6804,132000,9,10000,2000,0.1,10
pima,8,842,8.503,0.6868,132000,9,10000,2000,0.1,10
pima,9,942,8.942,0.686,132000,9,10000,2000,0.1,10
pima,10,1042,10.105,0.6878,132000,9,10000,2000,0.1,10
pima,11,1142,9.671,0.6813,132000,9,10000,2000,0.1,10
pima,12,1242,10.983,0.6785,132000,9,10000,2000,0.1,10
pima,13,1342,9.711,0.6837,132000,9,10000,2000,0.1,10
pima,14,1442,11.798,0.6866,132000,9,10000,2000,0.1,10
pima,15,1542,10.922,0.6956,132000,9,10000,2000,0.1,10
pima,16,1642,12.02,0.6785,132000,9,10000,2000,0.1,10
pima,17,1742,9.125,0.6897,132000,9,10000,2000,0.1,10
pima,18,1842,11.365,0.6954,132000,9,10000,2000,0.1,10
pima,19,1942,11.017,0.6842,132000,9,10000,2000,0.1,10
pima,20,2042,10.613,0.6772,132000,9,10000,2000,0.1,10
pima,21,2142,10.279,0.6781,132000,9,10000,2000,0.1,10
pima,22,2242,10.154,0.6858,132000,9,10000,2000,0.1,10
pima,23,2342,10.696,0.6995,132000,9,10000,2000,0.1,10
pima,24,2442,9.906,0.6912,132000,9,10000,2000,0.1,10
pima,25,2542,7.994,0.6805,132000,9,10000,2000,0.1,10
pima,26,2642,8.044,0.6833,132000,9,10000,2000,0.1,10
pima,27,2742,8.226,0.6912,132000,9,10000,2000,0.1,10
pima,28,2842,7.989,0.6893,132000,9,10000,2000,0.1,10
pima,29,2942,8.163,0.6899,132000,9,10000,2000,0.1,10
creditcard,0,42,50.323,0.9197,169000,29,10000,3000,0.1,12
creditcard,1,142,57.08,0.9225,169000,29,10000,3000,0.1,12
creditcard,2,242,59.655,0.9187,169000,29,10000,3000,0.1,12
creditcard,3,342,71.968,0.9178,169000,29,10000,3000,0.1,12
creditcard,4,442,66.082,0.9199,169000,29,10000,3000,0.1,12
creditcard,5,542,69.417,0.9191,169000,29,10000,3000,0.1,12
creditcard,6,642,58.271,0.9137,169000,29,10000,3000,0.1,12
creditcard,7,742,49.389,0.9207,169000,29,10000,3000,0.1,12
creditcard,8,842,56.12,0.9164,169000,29,10000,3000,0.1,12
creditcard,9,942,63.216,0.9166,169000,29,10000,3000,0.1,12
creditcard,10,1042,58.503,0.9191,169000,29,10000,3000,0.1,12
creditcard,11,1142,57.053,0.9156,169000,29,10000,3000,0.1,12
creditcard,12,1242,56.941,0.9162,169000,29,10000,3000,0.1,12
creditcard,13,1342,62.852,0.9184,169000,29,10000,3000,0.1,12
creditcard,14,1442,60.449,0.9193,169000,29,10000,3000,0.1,12
creditcard,15,1542,59.26,0.9233,169000,29,10000,3000,0.1,12
creditcard,16,1642,59.944,0.9159,169000,29,10000,3000,0.1,12
creditcard,17,1742,62.774,0.9163,169000,29,10000,3000,0.1,12
creditcard,18,1842,79.764,0.9162,169000,29,10000,3000,0.1,12
creditcard,19,1942,82.985,0.9206,169000,29,10000,3000,0.1,12
creditcard,20,2042,79.921,0.9224,169000,29,10000,3000,0.1,12
creditcard,21,2142,81.459,0.9232,169000,29,10000,3000,0.1,12
creditcard,22,2242,79.878,0.9175,169000,29,10000,3000,0.1,12
creditcard,23,2342,83.758,0.9163,169000,29,10000,3000,0.1,12
creditcard,24,2442,84.106,0.9189,169000,29,10000,3000,0.1,12
creditcard,25,2542,73.839,0.9152,169000,29,10000,3000,0.1,12
creditcard,26,2642,80.562,0.9233,169000,29,10000,3000,0.1,12
creditcard,27,2742,80.971,0.9182,169000,29,10000,3000,0.1,12
creditcard,28,2842,80.232,0.9205,169000,29,10000,3000,0.1,12
creditcard,29,2942,76.472,0.9151,169000,29,10000,3000,0.1,12
tcga,0,42,160.547,0.9699,260000,61,15000,5000,0.08,12
tcga,1,142,150.647,0.9691,260000,61,15000,5000,0.08,12
tcga,2,242,163.419,0.9738,260000,61,15000,5000,0.08,12
tcga,3,342,144.659,0.9704,260000,61,15000,5000,0.08,12
tcga,4,442,135.773,0.9679,260000,61,15000,5000,0.08,12
tcga,5,542,153.722,0.9689,260000,61,15000,5000,0.08,12
tcga,6,642,163.077,0.9681,260000,61,15000,5000,0.08,12
tcga,7,742,152.923,0.9708,260000,61,15000,5000,0.08,12
tcga,8,842,158.121,0.9691,260000,61,15000,5000,0.08,12
tcga,9,942,162.184,0.9715,260000,61,15000,5000,0.08,12
tcga,10,1042,156.698,0.968,260000,61,15000,5000,0.08,12
tcga,11,1142,156.727,0.9713,260000,61,15000,5000,0.08,12
tcga,12,1242,10936.136,0.9726,260000,61,15000,5000,0.08,12
tcga,13,1342,17918.744,0.9677,260000,61,15000,5000,0.08,12
tcga,14,1442,24.902,0.9701,260000,61,15000,5000,0.08,12
tcga,15,1542,113.336,0.9691,260000,61,15000,5000,0.08,12
tcga,16,1642,140.364,0.9691,260000,61,15000,5000,0.08,12
tcga,17,1742,114.089,0.9683,260000,61,15000,5000,0.08,12
tcga,18,1842,130.373,0.9723,260000,61,15000,5000,0.08,12
tcga,19,1942,131.696,0.9688,260000,61,15000,5000,0.08,12
tcga,20,2042,131.499,0.9718,260000,61,15000,5000,0.08,12
tcga,21,2142,134.779,0.9705,260000,61,15000,5000,0.08,12
tcga,22,2242,134.99,0.9702,260000,61,15000,5000,0.08,12
tcga,23,2342,133.412,0.9721,260000,61,15000,5000,0.08,12
tcga,24,2442,133.892,0.9689,260000,61,15000,5000,0.08,12
