dataset,trial,logZ,runtime
pima,1,-388.4966,30.45
pima,2,-388.5898,29.99
pima,3,-388.2054,31.58
pima,4,-388.9203,30.3
pima,5,-389.6321,28.92
pima,6,-388.9645,29.12
pima,7,-389.6918,29.15
pima,8,-387.6469,30.35
pima,9,-388.0695,59.11
pima,10,-385.5599,37.72
pima,11,-388.9541,45.68
pima,12,-388.4481,45.22
pima,13,-388.8606,63.28
pima,14,-389.1338,65.61
pima,15,-388.5338,57.44
pima,16,-388.566,62.67
pima,17,-391.2087,51.89
pima,18,-388.3655,50.71
pima,19,-389.5832,49.52
pima,20,-388.745,48.64
pima,21,-387.2307,44.27
pima,22,-388.3907,46.65
pima,23,-386.3469,51.67
pima,24,-388.2724,47.83
pima,25,-390.926,46.63
pima,26,-385.5251,46.27
pima,27,-389.1111,49.61
pima,28,-388.0703,48.07
pima,29,-389.6587,46.55
pima,30,-389.3875,41.78
creditcard,1,-96.4609,30.1
creditcard,2,-100.8098,28.87
creditcard,3,-100.8589,30.04
creditcard,4,-100.5374,30.27
creditcard,5,-100.756,29.66
creditcard,6,-101.0059,29.46
creditcard,7,-99.9815,40.0
creditcard,8,-100.222,32.71
creditcard,9,-101.3727,30.07
creditcard,10,-100.6124,31.44
creditcard,11,-99.2039,28.7
creditcard,12,-96.5513,30.09
creditcard,13,-100.5706,28.91
creditcard,14,-100.6859,31.0
creditcard,15,-99.1862,28.44
creditcard,16,-97.3494,31.0
creditcard,17,-98.4394,29.51
creditcard,18,-101.5642,30.99
creditcard,19,-101.1118,28.26
creditcard,20,-100.6448,29.21
creditcard,21,-99.8496,29.92
creditcard,22,-99.0569,30.05
creditcard,23,-98.017,35.69
creditcard,24,-100.5166,32.63
creditcard,25,-98.5073,35.72
creditcard,26,-100.0496,36.86
creditcard,27,-98.7871,32.4
creditcard,28,-100.2965,35.21
creditcard,29,-100.0065,30.49
creditcard,30,-102.5578,31.55
tcga,1,-91.241,558.84
tcga,2,-88.3267,428.22
tcga,3,-90.9459,736.66
tcga,4,-84.126,733.83
tcga,5,-85.2319,612.16
tcga,6,-78.0576,236.07
tcga,7,-91.6841,630.26
tcga,8,-83.8221,680.25
tcga,9,-83.711,613.47
tcga,10,-89.3681,659.3
tcga,11,-82.3357,1156.54
tcga,12,-77.6398,655.37
tcga,13,-87.6253,659.77
tcga,14,-92.8435,2974.52
tcga,15,-92.834,633.19
tcga,16,-81.4385,372.72
tcga,17,-91.9633,270.48
tcga,18,-87.9265,263.24
tcga,19,-89.4448,228.07
tcga,20,-88.5391,416.81
tcga,21,-89.5568,569.67
tcga,22,-90.2147,1436.51
tcga,23,-85.4548,234.06
tcga,24,-84.3609,750.3
tcga,25,-85.2364,234.99
tcga,26,-88.0864,755.44
tcga,27,-84.3634,729.56
tcga,28,-81.2096,233.21
tcga,29,-85.7,343.81
tcga,30,-93.2715,1808.08
