metric,mean,std,min,max
logz,-95.47814295382494,0.6551385325976572,-96.391954562127,-93.89870781296686
logzerr,0.509435789447069,0.02491832169887393,0.4663931529361559,0.5462626187808947
logz_resample_std,0.32514065326455405,0.002593193714298301,0.32089018252195683,0.33049113046799694
H,42.28915554601567,0.6753998378198103,41.18820369558991,43.689754927205826
runtime,154.47791626249818,3.4398154136854333,148.55870200000936,162.06417339999462
ncall,774785.6666666666,12230.427446995951,752030,796727
n_iter,20848.833333333332,303.74970626812296,20222,21392
eff_nlive,631.2916666666666,10.144517331251297,613,652
nlive_used,400.0,0.0,400,400
seed,2150.0,707.1067811865476,1000,3300
converged,1.0,0.0,1,1
