metric,mean,std,min,max
logz,-57.57025612941176,2.817186171964011,-63.85617319291335,-52.11386203081577
logzerr,0.628601858247778,0.016026937633235667,0.5927386729494935,0.6625251112472343
logz_resample_std,0.3675580264023665,0.00895563113032352,0.34985565373891403,0.38792914720376653
H,54.07057306297885,2.6366149577209796,48.95959138123316,60.19560930009663
runtime,126.32057772666546,6.98057563820122,111.8215229999987,141.36235849999503
ncall,667974.8666666667,33002.444367917225,603077,742709
n_iter,23616.133333333335,1102.4439850758338,21508,26116
eff_nlive,201.93333333333334,0.8276819867946675,200,203
nlive_used,400.0,0.0,400,400
seed,1492.0,880.3408430829504,42,2942
converged,1.0,0.0,1,1
